property_id,price,beds,baths,size(sqft),line,city,state,zipcode,longitude,latitude,days_ago,features,P_zip,P_latitude,P_longitude,dist_P (mi.),S_zip,S_latitude,S_longitude,dist_S (mi.),F_zip,F_latitude,F_longitude,dist_F (mi.),crime_rate(%),POPDEN2010 (per sq. mi.)
M5001559427,410000,4,2,1440,104 Emily Dr,Manahawkin,NJ,8050,-74.242958,39.679167,58,"garage_1_or_more, single_story",8050.0,39.6918431,-74.2503976,0.9643725377982332,8050.0,39.7022705700001,-74.2564606019999,1.756367954064759,8050.0,39.69497299993543,-74.25307499969995,1.2225267247294698,1.625023553796872,485
M5003192128,749000,3,2,1812,152 Evelyn Dr,Manahawkin,NJ,8050,-74.240649,39.672062,14,"garage_1_or_more, two_or_more_stories",8050.0,39.6918431,-74.2503976,1.4650105666895845,8050.0,39.7022705700001,-74.2564606019999,2.256102250054795,8050.0,39.69497299993543,-74.25307499969995,1.7202972331538695,1.625023553796872,485
M5018130177,484900,4,2,1786,1389 E Mallard Dr,Manahawkin,NJ,8050,-74.214566,39.673382,16,two_or_more_stories,8050.0,39.6918431,-74.2503976,2.334551108827763,8050.0,39.7022705700001,-74.2564606019999,3.034088976595111,8050.0,39.69497299993543,-74.25307499969995,2.576884161546023,1.625023553796872,485
M5022367641,339000,3,2,1378,1062 Driftwood Ave,Manahawkin,NJ,8050,-74.275864,39.732124,16,"garage_1_or_more, single_story",8050.0,39.6918431,-74.2503976,3.1077900504432905,8050.0,39.741927263,-74.2807001159999,0.7261366284174012,8050.0,39.73457336419354,-74.27959442182866,0.2646677813650855,1.625023553796872,485
M5024752662,395000,3,2,992,1219 Coast Ave,Manahawkin,NJ,8050,-74.286465,39.730678,29,"basement, single_story",8050.0,39.6918431,-74.2503976,3.325411770823088,8050.0,39.741927263,-74.2807001159999,0.8375921752061637,8050.0,39.73457336419354,-74.27959442182866,0.46148450883283826,1.625023553796872,485
M5027943715,649000,6,4,3074,176 Matilda Dr,Manahawkin,NJ,8050,-74.237883,39.668893,9,"garage_1_or_more, garage_2_or_more, two_or_more_stories",8050.0,39.6918431,-74.2503976,1.7246876425609639,8050.0,39.7022705700001,-74.2564606019999,2.5165312882408304,8050.0,39.69497299993543,-74.25307499969995,1.98149301443882,1.625023553796872,485
M5041197795,595500,3,3,1452,105 Alan Dr,Manahawkin,NJ,8050,-74.24286,39.673229,17,"garage_1_or_more, single_story",8050.0,39.6918431,-74.2503976,1.348699219670407,8050.0,39.7022705700001,-74.2564606019999,2.1370382433136537,8050.0,39.69497299993543,-74.25307499969995,1.6006501408408869,1.625023553796872,485
M5057563138,899000,3,2,1392,86 Howard Dr,Manahawkin,NJ,8050,-74.221203,39.659018,22,"garage_1_or_more, two_or_more_stories",8050.0,39.6918431,-74.2503976,2.7696268200515766,8050.0,39.7022705700001,-74.2564606019999,3.5514337961906706,8050.0,39.69497299993543,-74.25307499969995,3.030375379800868,1.625023553796872,485
M5061218869,275000,3,2,1208,1018 Windlass Dr,Manahawkin,NJ,8050,-74.273498,39.726876,18,"basement, garage_1_or_more, two_or_more_stories",8050.0,39.6918431,-74.2503976,2.7265411451631327,8050.0,39.741927263,-74.2807001159999,1.1104924991106062,8050.0,39.73457336419354,-74.27959442182866,0.6268056560544788,1.625023553796872,485
M5072325526,729000,3,3,1852,168 Matilda Dr,Manahawkin,NJ,8050,-74.238365,39.668719,37,"garage_1_or_more, two_or_more_stories",8050.0,39.6918431,-74.2503976,1.7255270602622144,8050.0,39.7022705700001,-74.2564606019999,2.5170773395463546,8050.0,39.69497299993543,-74.25307499969995,1.981590782622132,1.625023553796872,485
M5078364535,369999,3,2,1130,100 Evelyn Dr,Manahawkin,NJ,8050,-74.244096,39.672237,11,"garage_1_or_more, single_story",8050.0,39.6918431,-74.2503976,1.3958892275870858,8050.0,39.7022705700001,-74.2564606019999,2.1795102194146727,8050.0,39.69497299993543,-74.25307499969995,1.6436032382618118,1.625023553796872,485
