property_id,price,beds,baths,size(sqft),cluster,latitude,longitude,dist_P (mi.),dist_S (mi.),dist_F (mi.),crime_rate(%),POPDEN2010 (per sq. mi.),features
M5001559427,410000,4,2,1440,0,39.679167,-74.242958,0.9643725377982332,1.756367954064759,1.2225267247294698,1.625023553796872,485,"garage_1_or_more, single_story"
M5003192128,749000,3,2,1812,1,39.672062,-74.240649,1.4650105666895843,2.256102250054795,1.7202972331538695,1.625023553796872,485,"garage_1_or_more, two_or_more_stories"
M5018130177,484900,4,2,1786,1,39.673382,-74.214566,2.334551108827763,3.034088976595111,2.576884161546023,1.625023553796872,485,two_or_more_stories
M5022367641,339000,3,2,1378,0,39.732124,-74.275864,3.1077900504432905,0.7261366284174012,0.2646677813650855,1.625023553796872,485,"garage_1_or_more, single_story"
M5024752662,395000,3,2,992,0,39.730678,-74.286465,3.325411770823088,0.8375921752061637,0.4614845088328382,1.625023553796872,485,"basement, single_story"
M5027943715,649000,6,4,3074,1,39.668893,-74.237883,1.724687642560964,2.5165312882408304,1.98149301443882,1.625023553796872,485,"garage_1_or_more, garage_2_or_more, two_or_more_stories"
M5041197795,595500,3,3,1452,0,39.673229,-74.24286,1.348699219670407,2.1370382433136537,1.6006501408408869,1.625023553796872,485,"garage_1_or_more, single_story"
M5057563138,899000,3,2,1392,1,39.659018,-74.221203,2.769626820051577,3.5514337961906706,3.030375379800868,1.625023553796872,485,"garage_1_or_more, two_or_more_stories"
M5061218869,275000,3,2,1208,1,39.726876,-74.273498,2.7265411451631327,1.1104924991106062,0.6268056560544788,1.625023553796872,485,"basement, garage_1_or_more, two_or_more_stories"
M5072325526,729000,3,3,1852,1,39.668719,-74.238365,1.7255270602622144,2.5170773395463546,1.981590782622132,1.625023553796872,485,"garage_1_or_more, two_or_more_stories"
M5078364535,369999,3,2,1130,0,39.672237,-74.244096,1.3958892275870858,2.1795102194146727,1.6436032382618118,1.625023553796872,485,"garage_1_or_more, single_story"
M5082067681,399900,3,3,2150,1,39.738164,-74.27039,3.3774076187135047,0.6199345132938163,0.5603123889382469,1.625023553796872,485,"basement, garage_1_or_more, garage_2_or_more, two_or_more_stories"
M5083885793,415000,4,3,3473,1,39.75344,-74.305692,5.213337812885478,1.578940532048514,1.9300509942683484,1.625023553796872,485,"garage_1_or_more, garage_2_or_more, two_or_more_stories"
M5092684287,269000,3,2,1399,0,39.726325,-74.285009,3.038439314415399,1.101963152339439,0.6413405473507702,1.625023553796872,485,"garage_1_or_more, garage_2_or_more, single_story"
M5093869916,284000,3,2,1650,0,39.732577,-74.295375,3.732355689597104,1.02870859008768,0.8725612315855931,1.625023553796872,485,"garage_1_or_more, single_story"
M5118982486,749000,4,2,2065,1,39.672513,-74.244603,1.3707882361770771,2.152925098881552,1.617302121962214,1.625023553796872,485,"basement, garage_1_or_more, two_or_more_stories"
M5139192183,309900,3,2,1386,1,39.724554,-74.282562,2.8597970501513097,1.203057948553718,0.710069918753639,1.625023553796872,485,"garage_1_or_more, two_or_more_stories"
M5141032552,349900,3,2,1284,1,39.743665,-74.285925,4.067987038753242,0.3094525027694977,0.7162454942277036,1.625023553796872,485,"garage_1_or_more, garage_2_or_more, two_or_more_stories"
