C_ID,C_name,C_AKA,C_zip,C_latitude,C_longitude,C_population
meQ6vKJetk,Barnegat,,08005,39.75,-74.22,19593
dtP0eU85lh,Barnegat Light,Barnegat Lgt,08006,39.75,-74.11,687
lc4pUW4mon,Beach Haven,"Harvey Cedars, Long Bch Twp, Long Beach, Long Beach Township, Ship Bottom, Surf City",08008,39.55,-74.24,6743
LJ6dAgrWmg,Manahawkin,"Stafford Township, Stafford Twp",08050,39.69,-74.25,20931
YMZimxAlJ9,Tuckerton,"Little Egg Harbor, Little Egg Harbor Twp, Ltl Egg Hbr, Mystic Islands, Mystic Islnds",08087,39.59,-74.32,20609
srBzYvMuo4,West Creek,,08092,39.65,-74.28,3158
MHHcTj6OPc,Jackson,,08527,40.1,-74.35,47406
Vv5aU0LOUX,New Egypt,,08533,40.06,-74.53,6225
lHgsyHmsNF,Lakewood,,08701,40.09,-74.21,52778
4T4vhwyS3A,Bayville,,08721,39.91,-74.21,17550
EARqt5TGi6,Beachwood,,08722,39.92,-74.2,9570
nor0AD2OKt,Brick,Osbornville,08723,40.06,-74.11,27903
iS57kYIQUs,Brick,Wall Township,08724,40.06,-74.11,37268
E8GsD2HHVN,Forked River,,08731,39.84,-74.19,17395
v3eNyb5DTp,Island Heights,Island Hgts,08732,39.94,-74.14,1563
jCyxZOkjkw,Lakehurst,"Lakehurst Nae, Lakehurst Naec",08733,40.01,-74.32,2437
ttFMAIpYDr,Lanoka Harbor,,08734,39.86,-74.16,6888
ctHq2rrXTA,Lavallette,,08735,39.96,-74.06,2840
svWKYNzwFE,Mantoloking,,08738,40.04,-74.04,831
qYFoCFL6u6,Normandy Beach,Normandy Bch,08739,40.0,-74.06,478
8pA5MtSBVJ,Ocean Gate,,08740,39.92,-74.13,1669
5g0VmmxWIa,Pine Beach,,08741,39.93,-74.17,2458
dp0RtgEz1C,Point Pleasant Beach,"Bay Head, Point Pleasant Boro, Pt Pleas Bch, Pt Pleasant, Pt Pleasant B, Pt Pleasant Beach",08742,40.09,-74.04,22127
euVxvd2u6T,Seaside Heights,Seaside Hgts,08751,39.94,-74.07,3094
W4acBzqd64,Seaside Park,,08752,39.79,-74.09,1913
itFWH1ht9y,Toms River,,08753,39.95,-74.18,55159
mU0Ht5IQ77,Toms River,,08754,39.95,-74.18,640
Kr3wVgt15R,Toms River,,08755,39.95,-74.18,21432
Uh0HfLQ5ur,Toms River,,08756,39.95,-74.18,0
4vnZoZsC3j,Toms River,,08757,39.95,-74.18,26967
FXx7NVKo0d,Waretown,,08758,39.78,-74.19,6336
bbYwcCiHSb,Manchester Township,"Lakehurst, Manchester, Manchester Tw, Whiting",08759,39.93,-74.39,27892
