P_ID,P_name,P_address,P_city,ori,agency_name,aggravated-assault,arson,burglary,homicide,human-trafficing,larceny,motor-vehicle-theft,property-crime,rape,rape-legacy,robbery,violent-crime,case_number,P_zip,P_latitude,P_longitude
5443,BERKELEY TOWNSHIP POLICE DEPARTMENT,631 PINEWALD KESWICK ROAD,BAYVILLE,NJ0150500,BERKELEY TOWNSHIP POLICE DEPARTMENT,123,9,423,0,0,1638,40,2101,32,0,43,198,4409,08721,39.9056057000001,-74.2344368
6221,BEACH HAVEN POLICE DEPARTMENT,300 ENGLESIDE AVENUE,BEACH HAVEN,NJ0150300,BEACH HAVEN POLICE DEPARTMENT,5,0,24,0,0,500,3,527,1,0,0,6,1060,08008,39.5630485030001,-74.241287023
6514,PLUMSTED TOWNSHIP POLICE DEPARTMENT,2 CEDAR STREET,NEW EGYPT,NJ0152300,PLUMSTED TOWNSHIP POLICE DEPARTMENT,11,0,62,1,0,104,11,177,6,0,2,20,374,08533,40.0666059000001,-74.5232113
7382,MANTOLOKING POLICE DEPARTMENT,202 DOWNER AVENUE,MANTOLOKING,NJ0151900,MANTOLOKING POLICE DEPARTMENT,0,0,6,0,0,32,5,43,0,0,0,0,86,08738,40.03698689,-74.052315885
7389,BAY HEAD POLICE DEPARTMENT,81 BRIDGE AVENUE,BAY HEAD,NJ0150200,BAY HEAD POLICE DEPARTMENT,2,0,18,0,0,59,7,84,0,0,0,2,170,08742,40.0695504620001,-74.0465646659999
8276,OCEAN GATE BOROUGH POLICE DEPARTMENT,801 OCEAN GATE AVENUE,OCEAN GATE,NJ0152100,OCEAN GATE POLICE DEPARTMENT,2,0,46,0,0,122,2,170,0,0,1,3,343,08740,39.9244337000001,-74.1404029999999
9165,STAFFORD TOWNSHIP POLICE DEPARTMENT,260 EAST BAY AVENUE,MANAHAWKIN,NJ0153000,STAFFORD TOWNSHIP POLICE DEPARTMENT,86,4,85,0,0,903,37,1025,8,0,8,102,2156,08050,39.6918431,-74.2503976
9168,BARNEGAT TOWNSHIP POLICE DEPARTMENT,900 WEST BAY AVENUE,BARNEGAT,NJ0153300,BARNEGAT TOWNSHIP POLICE DEPARTMENT,49,6,115,0,0,542,21,678,9,0,14,72,1434,08005,39.758761237,-74.244876389
10168,TUCKERTON BOROUGH POLICE DEPARTMENT,445 SOUTH GREEN STREET,TUCKERTON,NJ0153200,TUCKERTON POLICE DEPARTMENT,9,0,43,0,0,139,8,190,0,0,1,10,390,08087,39.5928671,-74.3386298
10336,LAKEWOOD POLICE DEPARTMENT,231 3RD STREET,LAKEWOOD,NJ0151400,LAKEWOOD TOWNSHIP POLICE DEPARTMENT,422,27,1049,8,0,3458,193,4700,42,0,239,711,10138,08701,40.0935915000001,-74.2131649999999
10388,JACKSON TOWNSHIP POLICE DEPARTMENT,102 JACKSON DRIVE,JACKSON,NJ0151100,JACKSON TOWNSHIP POLICE DEPARTMENT,78,27,464,3,0,1606,96,2166,16,0,25,122,4481,08527,40.110020461,-74.3540878279999
