F_ID,F_name,F_address,F_city,F_zip,F_latitude,F_longitude
4781,Cassville Volunteer Fire Company Station 56,12 Toms River Road,Jackson,08527,40.104000091936044,-74.38683319098301
5177,Jackson Mills Volunteer Fire Company Station 2,550 West Commodore Boulevard,Jackson,08527,40.15676498451146,-74.38986206070989
5593,Six Flags Great Adventure Safety Department,1 Six Flags Boulevard,Jackson,08527,40.14105532114246,-74.44517070228684
22074,Tuckerton Fire Department,111 North Green Street,Tuckerton,08087,39.60399246213486,-74.33992767290538
23145,Barnegat Light Volunteer Fire Company Station 13,907 Central Avenue,Barnegat Light,08006,39.75642776509727,-74.10754394579759
34706,Lakewood Township Fire Department Station 68,733 Cedarbridge  Avenue,Lakewood,08701,40.07864379901388,-74.1901016240476
34768,United States Coast Guard Manasquan Inlet Station,61 Inlet Drive,Point Pleasant Beach,08742,40.10250854442142,-74.03781127926219
34829,Barnegat Volunteer Fire Company 1,11 Birdsall Street,Barnegat,08005,39.753540038727884,-74.22136688265452
35016,Eagleswood Volunteer Fire Company Station 52,219 Railroad Avenue,West Creek,08092,39.63788604697935,-74.31093597404607
35557,Point Pleasant Beach Fire Department,416 New Jersey Avenue,Point Pleasant Beach,08742,40.086818695178245,-74.0468521114173
35558,Lakewood Township Fire Department Station 74,735 Cedarbridge Avenue,Lakewood,08701,40.078826904275616,-74.18960571244291
35621,Jackson Township Volunteer Fire District No 3,200 Kierych Memorial Drive,Jackson,08527,40.11171722393522,-74.28984069822462
35963,Jackson Township Volunteer Fire Company,113 North New Prospect Road,Jackson,08527,40.14813613913137,-74.26896667502092
35980,Whitesville Volunteer Fire Company 1 Jackson Fire District 1,81 South Hope Chapel Road,Jackson,08527,40.079055785947105,-74.26853179891694
35984,Navy Lyndhurst Fire Station 2,County Road 547,Lakehurst,08733,40.031513214483326,-74.34604644773157
36049,Pinewald Pioneer Volunteer Fire Company 2,640 Pinewald Keswick Road,Bayville,08721,39.903812408891504,-74.22990417430626
36142,Lakehurst Volunteer Fire Company,207 Center Street,Lakehurst,08733,40.01351547253132,-74.31208038279316
36172,Stafford Township Volunteer Fire Company Station 1,344 Nautilus Drive,Manahawkin,08050,39.73457336419354,-74.27959442182866
36173,Warren Grove Volunteer Fire Company,1475 County Road 539,Barnegat,08005,39.747917175152,-74.37062072739789
36277,Lakewood Fire Department,40 Clover Street,Lakewood,08701,40.09259033161389,-74.20045471148347
36364,Forked River Fire Department Substation,1681 Joffre Road,Forked River,08731,39.84176635751302,-74.21517944311323
36365,Waretown Volunteer Fire Company 1,117 Wells Mill Road,Waretown,08758,39.79106140118068,-74.19743347205585
36506,Bamber Lakes Fire Department,2630 West Lacey Road,Forked River,08731,39.903068541995765,-74.32224273680318
36856,Dover Township Fire Department Pleasant Plains Fire Company Station 30,40 Clayton Avenue,Toms River,08755,40.002414703873164,-74.21649169875482
36857,Manchester Volunteer Fire Company 1,545 Commonwealth Boulevard,Toms River,08757,40.000537872377755,-74.2727890018836
36913,Bayville Volunteer Fire Company 1,383 Veterans Boulevard,Bayville,08721,39.89129257236276,-74.19036102252282
36957,Lakehurst Fire Department,4 Proving Ground Road,Lakehurst,08733,40.01839065519663,-74.32897186238546
37168,Brick Township Fire Department Breton Woods Fire Company Station 21 - 1,510 Aurora Place,Brick,08723,40.05570602424092,-74.14315032969702
37190,Toms River Fire Department - Pleasant Plains Fire Company Station 30 - 1,257 Warner Street,Toms River,08755,40.03480148324329,-74.24490356486446
37224,Manitou Park Volunteer Fire Company Station 18 - 1,2 Fort De France Avenue,Toms River,08757,39.96508789027731,-74.24542999218242
37228,Jackson Mills Volunteer Fire Company Station 54,465 - B North County Line Road,Jackson,08527,40.14221191364146,-74.30918884262184
37278,Toms River Volunteer Fire Company 1 Station 25,26 Robbins Street,Toms River,08753,39.95273590095528,-74.1974792481566
37295,Toms River Fire Company 2 Substation 26 - 1,1053 Hooper Avenue,Toms River,08753,39.970947265465206,-74.18337249788205
37625,Seaside Heights Volunteer Fire Department Station 44,116 Sherman Avenue,Seaside Heights,08751,39.943786621156725,-74.0741195679525
38025,Brick Township Fire Department Herbertsville Fire Company Station 24 - 1,1160 Burnt Tavern Road,Brick,08724,40.09747314403662,-74.14048767089263
38659,Toms River Fire Department Substation 25 - 1,39 Cardinal Drive,Toms River,08755,39.97245407148721,-74.22856140185881
39180,Brick Township Fire Department Laurelton Fire Company 1 Substation 23 - 2,263 Van Zile Road,Brick,08724,40.08207702603134,-74.12152099626731
39337,Seaside Park Volunteer Fire Department Station 45,1 Municipal Plaza,Seaside Park,08752,39.9186058045352,-74.07913970974383
39694,Joint Base Mcguire Dix Lakehurst Fire Station Five,Joint Base McGuire Dix Lakehurst Fire Station Five,Lakehurst,08733,40.03329849234849,-74.33375549290521
39830,Toms River Fire Company 2 Station 26,45 West Water Street,Toms River,08753,39.95279693629854,-74.1999435426902
40022,Cassville Volunteer Fire Company Station 56 - 1 Headquarters,785 Miller Avenue,Jackson,08527,40.070899963503905,-74.35800933822546
40023,Lakewood Township Fire Department Substation 66 - 1,170 Lafayette Boulevard,Lakewood,08701,40.088176727234995,-74.24137115439433
40077,Brick Township Fire Department Pioneer Hose Fire Company Station 22 - 1,321 State Highway 35 North,Mantoloking,08738,40.015792846407095,-74.05729675328037
45113,Beach Haven Volunteer Fire Company 1,110 South Bay Avenue,Beach Haven,08008,39.56254199996658,-74.2412459997974
45190,Lanoka Harbor Volunteer Fire Department,2 Warren Avenue,Lanoka Harbor,08734,39.866196000370465,-74.17030300013167
