property_id,price,beds,baths,size(sqft),line,city,state,zipcode,longitude,latitude,days_ago,features
M6602530331,18500,2,2,1000,525 Main C St,Tuckerton,NJ,8087,-74.322433,39.615565,25,single_story
M9930412229,29900,2,2,784,469 S Green St Trlr 27,Tuckerton,NJ,8087,-74.338429,39.590329,78,single_story
M9471690149,35000,1,1,782,19D Monticello Dr,Whiting,NJ,8759,-74.3690999,39.9569006,12,single_story
M5847512768,38500,1,1,537,10G Bennington Ln Unit G,Whiting,NJ,8759,-74.369306,39.959331,25,single_story
M9269193256,39000,2,1,850,B Molly Pitcher Blvd Unit 11,Whiting,NJ,8759,-74.3752383,39.9600688,9,single_story
M9359285451,39900,2,1,797,81 Franklin A Ln,Whiting,NJ,8759,-74.370224,39.9584828,10,single_story
M6055133838,42500,1,1,787,10 Constitution Blvd Unit A,Whiting,NJ,8759,-74.379837,39.9547,24,single_story
M9594122079,44000,2,1,900,5 Chestnut St Unit A,Toms River,NJ,8757,-74.223526,39.967602,9,single_story
M9002090384,45000,2,1,797,66 Kennedy Dr Unit B,Whiting,NJ,8759,-74.348072,39.946041,8,single_story
M5847516835,47500,2,2,1120,61 Holly Rd,West Creek,NJ,8092,-74.284428,39.667725,36,single_story
M9075912161,51900,1,1,672,16D Willow St,Toms River,NJ,8757,-74.2388621,40.0093522,25,single_story
M6586478739,55000,3,2,1456,52 W Susquehanna Dr,Tuckerton,NJ,8087,-74.38623,39.565161,24,two_or_more_stories
M9838996908,55900,2,2,1056,20 Woodchuck Pkwy Unit 8020,Whiting,NJ,8759,-74.327674,39.947687,44,single_story
M5137367191,56000,2,1,880,4 Stonybrook Ct Unit 60,Manchester Township,NJ,8759,-74.345426,39.957994,101,"garage_1_or_more, single_story"
M9030796606,59000,3,2,1374,11 Partridge Pl,Whiting,NJ,8759,-74.320075,39.948725,45,single_story
M9629041211,59900,2,1,980,40 Marcia Memorial Cir,Jackson,NJ,8527,-74.35636,40.14856,21,single_story
M9672282972,63000,1,1,702,15B Yorkshire Ct,Manchester,NJ,8759,-74.271146,40.01671,20,single_story
M9126212894,65000,2,1,858,104A Edinburgh Ln Unit 1001,Lakewood,NJ,8701,-74.183741,40.047133,53,single_story
M9345367691,67500,2,2,1220,785 Hudson Pkwy Unit B,Whiting,NJ,8759,-74.364432,39.961323,11,"garage_1_or_more, single_story"
M9771522445,69900,1,1,1001,73 Bellhaven Ct Unit B,Whiting,NJ,8759,-74.352365,39.944221,26,"garage_1_or_more, single_story"
M9793626225,69900,1,1,663,1246 Hamilton Ct Unit B,Lakewood,NJ,8701,-74.16922,40.0284,29,single_story
M6306526127,70000,2,2,1126,15 Sycamore Rd,Manahawkin,NJ,8050,-74.306329,39.74792,24,"garage_1_or_more, single_story"
M5688626962,74900,2,2,920,18 Holly Rd,West Creek,NJ,8092,-74.282229,39.667823,35,single_story
M9174524154,74900,2,1,858,79A Cambridge Cir,Manchester,NJ,8759,-74.276158,40.013147,11,single_story
M9869736696,74900,2,1,858,642C Plymouth Dr Unit C,Lakewood,NJ,8701,-74.179816,40.051952,50,single_story
M9592497013,75000,1,1,702,43F Cambridge Cir,Manchester,NJ,8759,-74.275944,40.01436,13,single_story
M9727081398,76000,2,1,1000,3B Iowa Dr,Whiting,NJ,8759,-74.396668,39.950967,43,"garage_1_or_more, single_story"
M9394048893,77000,2,2,1056,147 Brighton Rd,Barnegat,NJ,8005,-74.324696,39.761833,10,single_story
M9170915080,78000,1,1,663,709D Plymouth Dr Unit 1004,Lakewood,NJ,8701,-74.185127,40.051095,17,single_story
M6991977836,79900,2,2,1056,176 Brighton Rd,Barnegat,NJ,8005,-74.322855,39.762611,66,single_story
M9758581547,79900,1,1,814,52E Cambridge Ct Unit 1005,Lakewood,NJ,8701,-74.183161,40.046034,21,single_story
M6042761545,79900,1,1,663,1248 Hamilton Ct Unit D,Lakewood,NJ,8701,-74.169793,40.028118,35,single_story
M9115595873,80000,1,1,991,1B Daisy Ct,Lakewood,NJ,8701,-74.244717,40.099906,46,"garage_1_or_more, single_story"
M9112658877,82000,1,1,668,304C W Malvern Ct Unit 1003,Lakewood,NJ,8701,-74.183953,40.041265,18,single_story
M5464250374,83900,2,2,1113,18A Sunset Rd,Manchester Township,NJ,8759,-74.35263,39.960816,101,"garage_1_or_more, single_story"
M5404046524,87000,2,2,946,455 Chesterfield Ct Unit E,Manchester,NJ,8759,-74.267551,40.01172,10,single_story
M9928849817,88800,2,2,1100,1 Michigan Ave,Whiting,NJ,8759,-74.402584,39.954726,53,"garage_1_or_more, single_story"
M9812238499,89000,2,1,1008,50B Stonybrook Rd,Whiting,NJ,8759,-74.336976,39.952588,20,single_story
M9804136356,89500,2,1,858,102B Edinburgh Ln Unit 1002,Lakewood,NJ,8701,-74.184711,40.04696,23,single_story
M9537176790,89900,3,2,1152,20 Fox St Unit 4020,Whiting,NJ,8759,-74.327441,39.949363,44,single_story
M9490601482,89900,3,2,1152,22 Fox St Unit 4022,Whiting,NJ,8759,-74.327112,39.949796,44,single_story
M9915613346,89900,2,1,858,306C W Malvern Ct Unit 1003,Lakewood,NJ,8701,-74.184452,40.040912,21,single_story
M9017067241,90000,2,2,1113,14A Milford Ave Unit 52,Whiting,NJ,8759,-74.353949,39.964653,13,"garage_1_or_more, single_story"
M9061902504,90000,2,2,1558,6 Swift Ln Unit B,Whiting,NJ,8759,-74.356172,39.947403,19,"garage_1_or_more, single_story"
M6362409113,91775,2,1,972,402 Prosperity Ct,Toms River,NJ,8755,-74.231703,40.035375,60,single_story
M9985000487,96350,2,2,1012,19 Lace Bark Ln,Jackson,NJ,8527,-74.355809,40.14808,8,single_story
M5543611574,97500,2,2,1558,135 Constitution Blvd Unit B,Whiting,NJ,8759,-74.367199,39.952486,18,"garage_1_or_more, single_story"
M9662156521,98800,2,2,1400,4 Pine Ridge Blvd,Whiting,NJ,8759,-74.328665,39.946676,19,single_story
M9764249273,99000,2,2,1600,43 Pine Ridge Blvd,Whiting,NJ,8759,-74.330521,39.942564,57,"garage_1_or_more, single_story"
M6214501168,99000,2,2,1558,136B Constitution Blvd,Whiting,NJ,8759,-74.360761,39.953403,21,"garage_1_or_more, single_story"
M6748762992,99000,2,1,732,4 Locust Ln,New Egypt,NJ,8533,-74.53746,40.065132,101,single_story
M9997740289,99000,2,1,858,138D Farrington Ct Unit 1004,Lakewood,NJ,8701,-74.186313,40.043248,15,single_story
M9672994192,99500,2,1,880,8 Pembroke Ln Unit B,Whiting,NJ,8759,-74.353741,39.961615,11,"garage_1_or_more, single_story"
M5909701404,99900,2,1,900,30 Lexington Blvd,Barnegat,NJ,8005,-74.24431,39.743843,17,single_story
M6306409958,100000,2,1,1101,49 Penwood Dr Unit 55,Whiting,NJ,8759,-74.348458,39.955887,14,"garage_1_or_more, single_story"
M5094606584,102500,2,1,1000,320B Coventry Ct Unit 1002,Lakewood,NJ,8701,-74.183414,40.039643,8,"garage_1_or_more, single_story"
M5210370317,103000,3,2,1073,1937 Route 542,Tuckerton,NJ,8087,-74.477086,39.597418,101,"basement, two_or_more_stories"
M9492757602,110000,2,1,982,693C Plymouth Dr Unit 1003,Lakewood,NJ,8701,-74.183586,40.050663,24,"garage_1_or_more, single_story"
M9651776409,110000,2,1,858,536C Dartmoor Ct Unit 1003,Lakewood,NJ,8701,-74.19551,40.039809,8,single_story
M9859518127,112000,2,2,1560,1305 Floral Way,Whiting,NJ,8759,-74.327021,39.945683,25,single_story
M9466513317,114900,3,2,1700,69 Pine Ridge Blvd,Manchester,NJ,8759,-74.328258,39.943341,55,"garage_1_or_more, single_story"
M9350976648,114900,2,1,982,538A Portsmouth Dr Unit 1001,Lakewood,NJ,8701,-74.195047,40.03912,51,"garage_1_or_more, single_story"
M9383614437,115000,2,1,982,508A Thornbury Ct Unit 1001,Lakewood,NJ,8701,-74.194522,40.037738,14,"garage_1_or_more, single_story"
M6368302390,115000,2,1,1124,394 Saint Thomas Dr,Toms River,NJ,8757,-74.269379,39.961143,16,single_story
M6973343182,118000,1,1,991,1B Daisy Ct Unit 1002,Lakewood,NJ,8701,-74.244717,40.099906,217,"garage_1_or_more, single_story"
M9284568901,118900,2,1,982,706A Plymouth Dr Unit 1001,Lakewood,NJ,8701,-74.185943,40.051038,27,"garage_1_or_more, single_story"
M5026344090,119000,6,4,1000,220 Liberty Ave Unit 1,Beach Haven,NJ,8008,-74.24724,39.55199,11,two_or_more_stories
M5250231546,119900,2,1,532,13 S Maple Ave,Tuckerton,NJ,8087,-74.45027411,39.59058258,27,"garage_1_or_more, single_story"
M9751214031,120000,2,2,1113,28B Canton Dr Unit 51,Whiting,NJ,8759,-74.361177,39.964147,29,"garage_1_or_more, single_story"
M5055887270,120000,2,1,841,44A Cambridge Ct Unit 1001,Lakewood,NJ,8701,-74.182264,40.047738,11,two_or_more_stories
M5802467692,122900,3,2,1130,25 Lexington Blvd,Barnegat,NJ,8005,-74.244102,39.74414,8,two_or_more_stories
M9118118348,124900,2,2,1050,12 Roosevelt City Rd,Whiting,NJ,8759,-74.395586,39.951952,29,"garage_1_or_more, single_story"
M6345203804,124900,1,1,800,18 Gibraltar Ct,Barnegat,NJ,8005,-74.204887,39.763449,23,single_story
M6866491882,125000,1,1,698,10 Gibraltar Ct,Barnegat,NJ,8005,-74.204808,39.763803,28,single_story
M5501103485,125000,2,2,1088,36 Creek Rd Unit 276,Brick,NJ,8724,-74.112988,40.107738,77,two_or_more_stories
M5487128757,125000,1,1,800,7 River Edge Dr Unit 4,Brick,NJ,8724,-74.105115,40.109295,21,single_story
M5803569926,125000,1,1,816,23 Norwich Dr,Toms River,NJ,8757,-74.237248,39.962991,11,"garage_1_or_more, single_story"
M6130101236,125000,2,1,1120,69 Falmouth Ave,Whiting,NJ,8759,-74.381844,39.945473,47,"garage_1_or_more, single_story"
M9004151251,125000,2,1,982,857D Thornhill Ct Unit 1004,Lakewood,NJ,8701,-74.160903,40.033733,31,"garage_1_or_more, single_story"
M6447072259,127000,2,1,1008,33B Medford Rd,Whiting,NJ,8759,-74.344189,39.952519,20,"garage_1_or_more, single_story"
M5431113797,127500,2,2,1219,51 Ashley Rd,Whiting,NJ,8759,-74.328702,39.952572,27,"garage_1_or_more, single_story"
M9759953133,128000,2,1,982,310C Malvern Ct Unit 1003,Lakewood,NJ,8701,-74.184079,40.042246,9,"garage_1_or_more, single_story"
M5021344494,129000,2,1,836,13B Cambridge Cir,Manchester,NJ,8759,-74.275247,40.012882,14,"garage_1_or_more, single_story"
M5358363157,129000,2,1,1048,111 Beverly Dr,Barnegat,NJ,8005,-74.210379,39.768246,39,"garage_1_or_more, single_story"
M5064898598,129900,3,2,1506,5689 Route 9,Tuckerton,NJ,8087,-74.446832,39.593331,101,"basement, garage_1_or_more, garage_2_or_more, two_or_more_stories"
M5519944614,129900,2,2,1200,144A Sunset Rd Unit A,Whiting,NJ,8759,-74.334688,39.952329,17,"garage_1_or_more, single_story"
M5601808445,129900,2,1,975,752B Liverpool Cir,Manchester,NJ,8759,-74.278692,40.006625,59,"garage_1_or_more, single_story"
M6374731729,129900,2,1,966,1 Churchill Rd Unit 71,Whiting,NJ,8759,-74.373685,39.94892,14,"garage_1_or_more, single_story"
M9644406641,130000,2,2,1246,296A Dorchester Dr Unit 1001,Lakewood,NJ,8701,-74.18273,40.04144,78,"garage_1_or_more, single_story"
M6661544942,130000,2,1,1000,1929 Hovsons Blvd,Toms River,NJ,8753,-74.166178,40.021934,37,"garage_1_or_more, single_story"
M5889349125,130000,2,1,616,607 Bay Blvd,Bayville,NJ,8721,-74.142517,39.896707,101,single_story
M9552634753,130000,2,1,841,39C Cambridge Ct Unit 1003,Lakewood,NJ,8701,-74.181354,40.047987,73,single_story
M5680115379,131500,2,1,888,168 Westchester Dr,Tuckerton,NJ,8087,-74.358231,39.586297,21,single_story
M6046692232,131900,4,2,1260,210 Lighthouse Dr,Manahawkin,NJ,8050,-74.273305,39.724797,101,two_or_more_stories
M6035483008,132500,2,1,836,3B Cambridge Cir,Manchester,NJ,8759,-74.273717,40.012886,37,"garage_1_or_more, single_story"
M5532987693,133000,2,1,990,13 Westport Dr Unit 71,Whiting,NJ,8759,-74.372531,39.948472,73,"garage_1_or_more, single_story"
M6820717229,133000,2,1,988,13 Westport Dr,Manchester Township,NJ,8759,-74.372843,39.948306,81,single_story
M5087041598,134000,2,1,982,262D Kingston Ct Unit 1004,Lakewood,NJ,8701,-74.189743,40.04894,10,"garage_1_or_more, single_story"
M5235733535,135000,2,2,1558,89 Milford Ave Unit 54B,Manchester Township,NJ,8759,-74.351265,39.956888,101,"garage_1_or_more, single_story"
M5962889351,135000,3,1,908,19 S Portland Dr,Tuckerton,NJ,8087,-74.386561,39.568892,51,single_story
M9029212901,135000,2,2,1164,714A Wooton Ct,Manchester,NJ,8759,-74.284495,40.006992,33,"garage_1_or_more, single_story"
M9208032451,135000,2,1,1000,690A Plymouth Dr Unit 1001,Lakewood,NJ,8701,-74.187718,40.049651,50,"garage_1_or_more, single_story"
M6439991913,135000,1,1,943,107 Bluebell Dr,Jackson,NJ,8527,-74.281676,40.11942,60,two_or_more_stories
M9195958218,139000,2,1,1009,9B Greenwood Ln,Manchester,NJ,8759,-74.33963,39.954159,38,"garage_1_or_more, single_story"
M9255436048,139000,2,2,1164,432B New Castle Ct,Manchester,NJ,8759,-74.270997,40.012277,38,"garage_1_or_more, single_story"
M6975520658,139900,2,2,1232,26 Gorginio Dr,Toms River,NJ,8757,-74.270091,39.969392,25,"garage_1_or_more, single_story"
M9580134963,139900,2,1,982,273B Kingston Ct Unit 1002,Lakewood,NJ,8701,-74.191128,40.050244,9,"garage_1_or_more, single_story"
M5025694827,139900,2,1,1055,5660 Route 9,Tuckerton,NJ,8087,-74.452058,39.591814,35,single_story
M5845759344,139900,1,1,832,1106 Bluebell Dr,Jackson,NJ,8527,-74.281316,40.120792,10,single_story
M5913681859,140000,2,1,910,1400 Middlesex St,Toms River,NJ,8757,-74.264646,40.003826,20,single_story
M5053988757,140000,2,2,1158,5 Cohanzick Ct,Tuckerton,NJ,8087,-74.357053,39.586553,65,two_or_more_stories
M5852621169,140000,2,1,1124,22 Grenada St,Toms River,NJ,8757,-74.237742,39.967036,13,single_story
M9406868330,144900,1,1,780,2 Primrose Ln Unit D,Jackson,NJ,8527,-74.270399,40.069009,18,single_story
M6125927451,145000,2,2,1192,13 Norwalk Ave,Whiting,NJ,8759,-74.379837,39.9547,10,"garage_1_or_more, single_story"
M9914921074,145000,2,2,1238,1B Edinburgh Ln,Manchester,NJ,8759,-74.270042,40.012376,13,"garage_1_or_more, single_story"
M6687682491,145000,3,2,2644,2043 Route 542,Tuckerton,NJ,8087,-74.46278,39.592159,101,"basement, two_or_more_stories"
