S_ID,S_name,S_address,S_level,S_city,S_zip,S_latitude,S_longitude
264,FREDERIC A. PRIFF ELEMENTARY SCHOOL,139 WELLS MILL ROAD,MIDDLE,WARETOWN,08758,39.7906138330001,-74.2019661269999
2741,CENTRAL REGIONAL MIDDLE SCHOOL,509 FOREST HILLS PARKWAY,MIDDLE,BAYVILLE,08721,39.88936993,-74.210435757
2822,PINELANDS REGIONAL JUNIOR HIGH SCHOOL,590 NUGENTOWN ROAD,MIDDLE,LITTLE EGG HARBOR,08087,39.614155318,-74.3604522429999
3630,MIDSTREAMS ELEMENTARY SCHOOL,500 MIDSTREAMS RD,ELEMENTARY,BRICK TOWN,08724,40.06813371,-74.1000713559999
5809,OCEAN ACADEMY CHARTER SCHOOL,678 5TH ST,ELEMENTARY,LAKEWOOD,08701,40.0937542670001,-74.2235893069999
6170,OCEAN TRANS ED CENTER,1141 OLD FREEHOLD RD,NOT REPORTED,TOMS RIVER,08743,39.976112626,-74.1973838439999
8444,LANES MILL ELEMENTARY SCHOOL,1891 LANES MILL RD,ELEMENTARY,BRICK,08724,40.1015178110001,-74.134005313
10818,OCEAN COUNTY VOCATIONAL TECHNICAL SCHOOL TOMS RIVER CENTER,1299 OLD FREEHOLD ROAD,HIGH,TOMS RIVER,08753,39.9826465510001,-74.195588481
11566,STAFFORD INTERMEDIATE SCHOOL,1000 MCKINLEY AVENUE,MIDDLE,MANAHAWKIN,08050,39.70272414,-74.283426105
14351,OCEAN COUNTY VOCATIONAL TECHNICAL SCHOOL JACKSON CENTER,850 TOMS RIVER ROAD,HIGH,JACKSON,08527,40.0586444420001,-74.354882604
17683,OCEAN COUNTY VOCATIONAL TECHNICAL SCHOOL LAKEHURST CENTER,HANGAR ONE,NOT REPORTED,LAKEHURST,08733,40.0298280000001,-74.314706214
18105,SOUTHERN REGIONAL HIGH SCHOOL,90 CEDAR BRIDGE ROAD,HIGH,MANAHAWKIN,08050,39.7120474480001,-74.254013577
19939,FORKED RIVER ELEMENTARY SCHOOL,110 LACEY ROAD,ELEMENTARY,FORKED RIVER,08731,39.8422799260001,-74.1921724219999
20653,CLARA B. WORTH ELEMENTARY SCHOOL,57 CENTRAL PARKWAY,ELEMENTARY,BAYVILLE,08721,39.8899747680001,-74.164218179
20764,OCEAN REGIONAL SCHOOL,1141 OLD FREEHOLD RD,OTHER,TOMS RIVER,08753,39.976217417,-74.197325539
21405,OCEAN COUNTY VOCATIONAL TECHNICAL SCHOOL BRICK CENTER,350 CHAMBERS BRIDGE ROAD,HIGH,BRICK,08723,40.0754592420001,-74.15239738
22227,PERFORMING ARTS ACADEMY OF THE OCEAN COUNTY VOCATIONAL TECH,JOINT BASE MCGUIRE-DIX-LAKEHURST,HIGH,LAKEHURST,08733,40.0287420490001,-74.316113359
23878,POINT PLEASANT BEACH HIGH SCHOOL,700 TRENTON AVENUE,HIGH,POINT PLEASANT BEACH,08742,40.089083691,-74.052665758
24003,VETERANS MEMORIAL MIDDLE SCHOOL,105 HENDRICKSON AVENUE,MIDDLE,BRICK TOWN,08724,40.083267806,-74.1183487229999
25158,SOUTH TOMS RIVER ELEMENTARY SCHOOL,419 DOVER ROAD,ELEMENTARY,SOUTH TOMS RIVER,08757,39.940520318,-74.211638202
25363,ETHEL A. JACOBSEN ELEMENTARY SCHOOL,200 S. BARNEGAT AVENUE,ELEMENTARY,SURF CITY,08008,39.654967986,-74.1766086169999
26436,JOSEPH T. DONAHUE ELEMENTARY SCHOOL,200 BENGAL BLVD,ELEMENTARY,BARNEGAT,08005,39.771749877,-74.233151614
29552,JOSEPH A. CITTA ELEMENTARY SCHOOL,2050 LAKEWOOD ROAD,ELEMENTARY,TOMS RIVER,08755,40.0275669640001,-74.2254515069999
29640,LAKEWOOD MIDDLE SCHOOL,755 SOMERSET AVENUE,MIDDLE,LAKEWOOD,08701,40.0967973910001,-74.193414167
